species_id,sciname,kingdom,phylum,tot_count_cells,cell_count_cutoff,num_countries,xbd
Fis-158733,Brotulinella taiwanensis,Animalia,Chordata,873,43.65,12,transboundary
Fis-158734,Diancistrus brevirostris,Animalia,Chordata,123,6.15,6,transboundary
Fis-158735,Diancistrus eremitus,Animalia,Chordata,736,36.8,10,transboundary
Fis-158736,Diancistrus erythraeus,Animalia,Chordata,666,33.3,11,transboundary
Fis-158737,Diancistrus fijiensis,Animalia,Chordata,213,10.65,6,transboundary
Fis-158744,Diancistrus fuscus,Animalia,Chordata,1883,94.15,15,transboundary
Fis-158769,Diancistrus jeffjohnsoni,Animalia,Chordata,870,43.5,9,transboundary
Fis-158770,Diancistrus karinae,Animalia,Chordata,1081,54.05,10,transboundary
Fis-158783,Diancistrus leisi,Animalia,Chordata,210,10.5,4,transboundary
Fis-158784,Diancistrus mcgroutheri,Animalia,Chordata,409,20.45,6,transboundary
Fis-158800,Diancistrus machidai,Animalia,Chordata,936,46.8,7,transboundary
Fis-158805,Diancistrus novaeguineae,Animalia,Chordata,1688,84.4,19,transboundary
Fis-158807,Diancistrus pohnpeiensis,Animalia,Chordata,90,4.5,5,transboundary
Fis-158809,Chaenogobius gulosus,Animalia,Chordata,246,12.3,4,transboundary
Fis-158811,Diancistrus tongaensis,Animalia,Chordata,591,29.55,10,transboundary
Fis-158815,Paradiancistrus acutirostris,Animalia,Chordata,66,3.3,5,transboundary
Fis-158817,Paradiancistrus cuyoensis,Animalia,Chordata,430,21.5,3,transboundary
Fis-158818,Dermatopsis greenfieldi,Animalia,Chordata,61,3.05,5,transboundary
Fis-158819,Dermatopsis hoesei,Animalia,Chordata,13,0.65,1,singlecountry
Fis-158852,Parapercis lineopunctata,Animalia,Chordata,2042,102.1,14,transboundary
Fis-158865,Dipulus hutchinsi,Animalia,Chordata,117,5.85,1,singlecountry
Fis-158877,Dermatopsoides morrisonae,Animalia,Chordata,9,0.45,1,singlecountry
Fis-158884,Lucifuga lucayana,Animalia,Chordata,76,3.8,5,transboundary
Fis-158886,Ogilbia boydwalkeri,Animalia,Chordata,93,4.65,4,transboundary
Fis-158895,Ogilbia davidsmithi,Animalia,Chordata,93,4.65,1,singlecountry
Fis-158896,Ogilbia jewettae,Animalia,Chordata,82,4.1,5,transboundary
Fis-158897,Ogilbia nigromarginata,Animalia,Chordata,97,4.85,1,singlecountry
Fis-158899,Ogilbia nudiceps,Animalia,Chordata,41,2.05,1,singlecountry
Fis-158907,Ogilbia robertsoni,Animalia,Chordata,144,7.2,7,transboundary
Fis-158908,Ogilbia sedorae,Animalia,Chordata,108,5.4,6,transboundary
Fis-158909,Ogilbia boehlkei,Animalia,Chordata,388,19.4,9,transboundary
Fis-158911,Ogilbia jeffwilliamsi,Animalia,Chordata,339,16.95,10,transboundary
Fis-158917,Ogilbia mccoskeri,Animalia,Chordata,17,0.85,6,transboundary
Fis-158918,Ogilbia sabaji,Animalia,Chordata,428,21.4,11,transboundary
Fis-158919,Ogilbia suarezae,Animalia,Chordata,546,27.3,12,transboundary
Fis-158926,Ogilbia tyleri,Animalia,Chordata,34,1.7,10,transboundary
Fis-159060,Linophryne bicornis,Animalia,Chordata,3070,153.5,29,transboundary
Fis-159076,Aulotrachichthys prosthemius,Animalia,Chordata,8242,412.1,16,transboundary
Fis-159112,Lioscorpius trifasciatus,Animalia,Chordata,55,2.75,2,transboundary
Fis-159113,Himantura hortlei,Animalia,Chordata,302,15.1,6,transboundary
Fis-159119,Pastinachus solocirostris,Animalia,Chordata,268,13.4,3,transboundary
Fis-159132,Orectolobus hutchinsi,Animalia,Chordata,136,6.8,1,singlecountry
Fis-159136,Rhinobatos sainsburyi,Animalia,Chordata,177,8.85,2,transboundary
Fis-159146,Brochiraja spinifera,Animalia,Chordata,278,13.9,2,transboundary
Fis-159148,Brochiraja albilabiata,Animalia,Chordata,310,15.5,4,transboundary
Fis-159150,Brochiraja microspinifera,Animalia,Chordata,28,1.4,3,transboundary
Fis-159168,Ogilbichthys ferocis,Animalia,Chordata,26,1.3,6,transboundary
Fis-159170,Ogilbichthys kakuki,Animalia,Chordata,425,21.25,13,transboundary
Fis-159171,Ogilbichthys longimanus,Animalia,Chordata,505,25.25,15,transboundary
Fis-159173,Ogilbichthys microphthalmus,Animalia,Chordata,82,4.1,5,transboundary
Fis-159187,Trimma flavatrum,Animalia,Chordata,1947,97.35,27,transboundary
Fis-159189,Trimma hayashii,Animalia,Chordata,1417,70.85,15,transboundary
Fis-159194,Tripterygion tartessicum,Animalia,Chordata,288,14.4,7,transboundary
Fis-159253,Ryukyupercis gushikeni,Animalia,Chordata,3369,168.45,25,transboundary
Fis-159261,Halieutopsis margaretae,Animalia,Chordata,1161,58.05,32,transboundary
Fis-159319,Dolichopteryx minuscula,Animalia,Chordata,13098,654.9,34,transboundary
Fis-159332,Himantura lobistoma,Animalia,Chordata,307,15.35,3,transboundary
Fis-159377,Poecilopsetta pectoralis,Animalia,Chordata,758,37.9,12,transboundary
Fis-159390,Trachyscorpia carnomagula,Animalia,Chordata,1126,56.3,11,transboundary
Fis-159405,Bythaelurus canescens,Animalia,Chordata,184,9.2,2,transboundary
Fis-159418,Dasyatis hypostigma,Animalia,Chordata,65,3.25,3,transboundary
Fis-159503,Coelorinchus amydrozosterus,Animalia,Chordata,616,30.8,7,transboundary
Fis-159506,Coelorinchus caudani,Animalia,Chordata,56,2.8,6,transboundary
Fis-159507,Coelorinchus celaenostomus,Animalia,Chordata,53,2.65,3,transboundary
Fis-159509,Coelorinchus charius,Animalia,Chordata,23,1.15,1,singlecountry
Fis-159510,Coelorinchus cookianus,Animalia,Chordata,461,23.05,4,transboundary
Fis-159513,Coelorinchus gaesorhynchus,Animalia,Chordata,158,7.9,2,transboundary
Fis-159514,Coelorinchus geronimo,Animalia,Chordata,163,8.15,10,transboundary
Fis-159517,Coelorinchus horribilis,Animalia,Chordata,15,0.75,3,transboundary
Fis-159521,Coelorinchus leptorhinus,Animalia,Chordata,232,11.6,4,transboundary
Fis-159522,Coelorinchus maurofasciatus,Animalia,Chordata,411,20.55,3,transboundary
Fis-159523,Coelorinchus mayiae,Animalia,Chordata,1387,69.35,18,transboundary
Fis-159526,Coelorinchus melanosagmatus,Animalia,Chordata,2019,100.95,27,transboundary
Fis-159528,Coelorinchus mycterismus,Animalia,Chordata,213,10.65,3,transboundary
Fis-159533,Coelorinchus pardus,Animalia,Chordata,432,21.6,5,transboundary
Fis-159534,Coelorinchus parvifasciatus,Animalia,Chordata,858,42.9,7,transboundary
Fis-159535,Coelorinchus polli,Animalia,Chordata,131,6.55,3,transboundary
Fis-159536,Coelorinchus semaphoreus,Animalia,Chordata,198,9.9,7,transboundary
Fis-159537,Coelorinchus sereti,Animalia,Chordata,911,45.55,11,transboundary
Fis-159538,Coelorinchus shcherbachevi,Animalia,Chordata,630,31.5,10,transboundary
Fis-159539,Coelorinchus sheni,Animalia,Chordata,201,10.05,4,transboundary
Fis-159540,Coelorinchus simorhynchus,Animalia,Chordata,177,8.85,2,transboundary
Fis-159543,Coelorinchus supernasutus,Animalia,Chordata,61,3.05,3,transboundary
Fis-159544,Coelorinchus thurla,Animalia,Chordata,125,6.25,3,transboundary
Fis-159545,Coelorinchus trachycarus,Animalia,Chordata,2186,109.3,16,transboundary
Fis-159548,Coelorinchus trunovi,Animalia,Chordata,221,11.05,6,transboundary
Fis-159561,Zoramia flebila,Animalia,Chordata,227,11.35,6,transboundary
Fis-159562,Zoramia viridiventer,Animalia,Chordata,2414,120.7,29,transboundary
Fis-159563,Tryssogobius porosus,Animalia,Chordata,160,8,3,transboundary
Fis-159567,Zoramia leptacantha,Animalia,Chordata,2861,143.05,39,transboundary
Fis-159568,Zoramia gilberti,Animalia,Chordata,1038,51.9,11,transboundary
Fis-159569,Zoramia perlita,Animalia,Chordata,1099,54.95,11,transboundary
Fis-159570,Zoramia fragilis,Animalia,Chordata,2401,120.05,32,transboundary
Fis-159576,Apogon campbelli,Animalia,Chordata,436,21.8,12,transboundary
Fis-159579,Allenbatrachus meridionalis,Animalia,Chordata,222,11.1,5,transboundary
Fis-159582,Glaucostegus halavi,Animalia,Chordata,2651,132.55,33,transboundary
Fis-159583,Glaucostegus granulatus,Animalia,Chordata,3270,163.5,25,transboundary
Fis-159584,Glaucostegus typus,Animalia,Chordata,2643,132.15,14,transboundary
Fis-159585,Insentiraja subtilispinosa,Animalia,Chordata,769,38.45,17,transboundary
Fis-159586,Squalus crassispinus,Animalia,Chordata,456,22.8,2,transboundary
Fis-159653,Periophthalmodon freycineti,Animalia,Chordata,1554,77.7,17,transboundary
Fis-159662,Amphiarius phrygiatus,Animalia,Chordata,90,4.5,6,transboundary
Fis-159682,Amissidens hainesi,Animalia,Chordata,820,41,7,transboundary
Fis-159697,Aspistor hardenbergi,Animalia,Chordata,389,19.45,5,transboundary
Fis-159754,Sciades sona,Animalia,Chordata,2728,136.4,33,transboundary
Fis-159765,Nemapteryx armiger,Animalia,Chordata,1002,50.1,7,transboundary
Fis-159767,Nemapteryx caelata,Animalia,Chordata,811,40.55,10,transboundary
Fis-159768,Nemapteryx macronotacantha,Animalia,Chordata,537,26.85,6,transboundary
Fis-159772,Nemapteryx nenga,Animalia,Chordata,471,23.55,7,transboundary
Fis-159775,Neoarius graeffei,Animalia,Chordata,714,35.7,6,transboundary
Fis-159777,Neoarius leptaspis,Animalia,Chordata,905,45.25,5,transboundary
Fis-159781,Neoarius pectoralis,Animalia,Chordata,805,40.25,6,transboundary
Fis-159784,Netuma bilineata,Animalia,Chordata,3609,180.45,38,transboundary
Fis-159785,Netuma proxima,Animalia,Chordata,2270,113.5,20,transboundary
Fis-159798,Plicofollis argyropleuron,Animalia,Chordata,3086,154.3,25,transboundary
Fis-159802,Plicofollis dussumieri,Animalia,Chordata,1181,59.05,21,transboundary
Fis-159805,Plicofollis nella,Animalia,Chordata,2109,105.45,14,transboundary
Fis-159808,Plicofollis polystaphylodon,Animalia,Chordata,2646,132.3,25,transboundary
Fis-159809,Plicofollis tenuispinis,Animalia,Chordata,1368,68.4,26,transboundary
Fis-159813,Plicofollis tonggol,Animalia,Chordata,2022,101.1,18,transboundary
Fis-159835,Amphiarius rugispinis,Animalia,Chordata,108,5.4,4,transboundary
Fis-159842,Sciades proops,Animalia,Chordata,293,14.65,7,transboundary
Fis-159857,Paroncheilus affinis,Animalia,Chordata,800,40,16,transboundary
Fis-159888,Tetrosomus reipublicae,Animalia,Chordata,1811,90.55,24,transboundary
Fis-159985,Cirrhigaleus australis,Animalia,Chordata,171,8.55,2,transboundary
Fis-160080,Zearaja chilensis,Animalia,Chordata,856,42.8,5,transboundary
Fis-160185,Pseudopataecus taenianotus,Animalia,Chordata,184,9.2,3,transboundary
Fis-160186,Cocotropus microps,Animalia,Chordata,247,12.35,4,transboundary
Fis-16019,Paralepis speciosa,Animalia,Chordata,1012,50.6,13,transboundary
Fis-160193,Caranx fischeri,Animalia,Chordata,304,15.2,13,transboundary
Fis-160243,Lophiocharon hutchinsi,Animalia,Chordata,1737,86.85,17,transboundary
Fis-160266,Halaelurus maculosus,Animalia,Chordata,492,24.6,4,transboundary
Fis-160267,Halaelurus sellus,Animalia,Chordata,1888,94.4,18,transboundary
Fis-160278,Simipercis trispinosa,Animalia,Chordata,180,9,3,transboundary
Fis-160284,Trimma gigantum,Animalia,Chordata,421,21.05,4,transboundary
Fis-160285,Trimma randalli,Animalia,Chordata,526,26.3,5,transboundary
Fis-160286,Trimma tauroculum,Animalia,Chordata,146,7.3,6,transboundary
Fis-160287,Trimma fucatum,Animalia,Chordata,564,28.2,8,transboundary
Fis-160296,Trimma sanguinellus,Animalia,Chordata,226,11.3,5,transboundary
Fis-160300,Chromis abyssus,Animalia,Chordata,428,21.4,7,transboundary
Fis-160301,Chromis brevirostris,Animalia,Chordata,691,34.55,10,transboundary
Fis-160303,Chromis degruyi,Animalia,Chordata,464,23.2,7,transboundary
Fis-160304,Chromis earina,Animalia,Chordata,825,41.25,10,transboundary
Fis-160316,Bathyraja cousseauae,Animalia,Chordata,189,9.45,3,transboundary
Fis-160370,Squalus albifrons,Animalia,Chordata,3766,188.3,12,transboundary
Fis-160374,Squalus notocaudatus,Animalia,Chordata,351,17.55,8,transboundary
Fis-160378,Squalus montalbani,Animalia,Chordata,2205,110.25,15,transboundary
Fis-160383,Squalus chloroculus,Animalia,Chordata,209,10.45,2,transboundary
Fis-160414,Sebastes variabilis,Animalia,Chordata,1561,78.05,5,transboundary
Fis-160425,Trypauchen pelaeos,Animalia,Chordata,205,10.25,3,transboundary
Fis-160439,Squalus edmundsi,Animalia,Chordata,6869,343.45,35,transboundary
Fis-160440,Squalus grahami,Animalia,Chordata,1727,86.35,10,transboundary
Fis-160444,Squalus nasutus,Animalia,Chordata,1562,78.1,15,transboundary
Fis-160447,Malacoraja obscura,Animalia,Chordata,63,3.15,2,transboundary
Fis-160464,Mustelus ravidus,Animalia,Chordata,187,9.35,1,singlecountry
Fis-160467,Stemonosudis elongata,Animalia,Chordata,30059,1502.95,64,transboundary
Fis-160485,Brachionichthys australis,Animalia,Chordata,165,8.25,1,singlecountry
Fis-160648,Euristhmus microphthalmus,Animalia,Chordata,821,41.05,6,transboundary
Fis-160669,Parmaturus albipenis,Animalia,Chordata,374,18.7,10,transboundary
Fis-160684,Squalus griffini,Animalia,Chordata,255,12.75,4,transboundary
Fis-160689,Asterropteryx ovata,Animalia,Chordata,835,41.75,11,transboundary
Fis-160691,Squalus hemipinnis,Animalia,Chordata,105,5.25,3,transboundary
Fis-160718,Squatina mexicana,Animalia,Chordata,273,13.65,6,transboundary
Fis-160768,Samariscus multiradiatus,Animalia,Chordata,631,31.55,11,transboundary
Fis-160788,Nuchequula blochii,Animalia,Chordata,2496,124.8,26,transboundary
Fis-160793,Nuchequula glenysae,Animalia,Chordata,89,4.45,1,singlecountry
Fis-160794,Nuchequula longicornis,Animalia,Chordata,180,9,5,transboundary
Fis-160811,Nuchequula nuchalis,Animalia,Chordata,343,17.15,6,transboundary
Fis-160812,Nuchequula gerreoides,Animalia,Chordata,3751,187.55,40,transboundary
Fis-160824,Photopectoralis bindus,Animalia,Chordata,4229,211.45,38,transboundary
Fis-160825,Nectamia viria,Animalia,Chordata,1507,75.35,16,transboundary
Fis-160827,Discotrema monogrammum,Animalia,Chordata,1519,75.95,19,transboundary
Fis-160828,Discotrema crinophilum,Animalia,Chordata,2069,103.45,20,transboundary
Fis-160831,Chrysiptera giti,Animalia,Chordata,156,7.8,4,transboundary
Fis-160834,Hemiscyllium galei,Animalia,Chordata,138,6.9,4,transboundary
Fis-160836,Pictichromis caitlinae,Animalia,Chordata,176,8.8,3,transboundary
Fis-160840,Pictichromis aurifrons,Animalia,Chordata,171,8.55,4,transboundary
Fis-160842,Pictichromis diadema,Animalia,Chordata,809,40.45,6,transboundary
Fis-160843,Pictichromis ephippiata,Animalia,Chordata,572,28.6,5,transboundary
Fis-160844,Pictichromis paccagnellae,Animalia,Chordata,2085,104.25,20,transboundary
Fis-160846,Pictichromis porphyrea,Animalia,Chordata,1327,66.35,18,transboundary
Fis-160849,Grallenia lipi,Animalia,Chordata,344,17.2,4,transboundary
Fis-160851,Dipturus cerva,Animalia,Chordata,408,20.4,2,transboundary
Fis-160853,Dipturus australis,Animalia,Chordata,32,1.6,1,singlecountry
Fis-160854,Dipturus whitleyi,Animalia,Chordata,284,14.2,1,singlecountry
Fis-160860,Squatina albipunctata,Animalia,Chordata,69,3.45,2,transboundary
Fis-160862,Squatina pseudocellata,Animalia,Chordata,18,0.9,1,singlecountry
Fis-160863,Pseudanthias charleneae,Animalia,Chordata,265,13.25,4,transboundary
Fis-160864,Pterocaesio monikae,Animalia,Chordata,59,2.95,3,transboundary
Fis-160866,Pictichromis coralensis,Animalia,Chordata,465,23.25,7,transboundary
Fis-160868,Pterois andover,Animalia,Chordata,200,10,3,transboundary
Fis-160879,Sinobatis bulbicauda,Animalia,Chordata,186,9.3,3,transboundary
Fis-160881,Sinobatis caerulea,Animalia,Chordata,7,0.35,1,singlecountry
Fis-160882,Sinobatis filicauda,Animalia,Chordata,11,0.55,1,singlecountry
Fis-160886,Orectolobus floridus,Animalia,Chordata,79,3.95,1,singlecountry
Fis-160887,Orectolobus parvimaculatus,Animalia,Chordata,22,1.1,1,singlecountry
Fis-160888,Nectamia ignitops,Animalia,Chordata,175,8.75,5,transboundary
Fis-160889,Nectamia luxuria,Animalia,Chordata,1646,82.3,24,transboundary
Fis-160890,Nectamia similis,Animalia,Chordata,1393,69.65,10,transboundary
Fis-160894,Vanderhorstia steelei,Animalia,Chordata,57,2.85,1,singlecountry
Fis-160896,Plotosus japonicus,Animalia,Chordata,91,4.55,2,transboundary
Fis-160897,Cynoglossus ochiaii,Animalia,Chordata,333,16.65,5,transboundary
Fis-160898,Trimma kudoi,Animalia,Chordata,139,6.95,2,transboundary
Fis-160899,Trimma yanoi,Animalia,Chordata,1387,69.35,13,transboundary
Fis-160903,Parapercis katoi,Animalia,Chordata,257,12.85,4,transboundary
Fis-160909,Engyprosopon kushimotoensis,Animalia,Chordata,51,2.55,1,singlecountry
Fis-160910,Cocotropus possi,Animalia,Chordata,135,6.75,2,transboundary
Fis-160921,Cephaloscyllium sarawakensis,Animalia,Chordata,1113,55.65,10,transboundary
Fis-160925,Electrolux addisoni,Animalia,Chordata,7,0.35,1,singlecountry
Fis-160935,Atelomycterus marnkalha,Animalia,Chordata,108,5.4,2,transboundary
Fis-160938,Holohalaelurus favus,Animalia,Chordata,118,5.9,3,transboundary
Fis-160940,Mustelus albipinnis,Animalia,Chordata,111,5.55,2,transboundary
Fis-160944,Bathyphylax pruvosti,Animalia,Chordata,37,1.85,2,transboundary
Fis-160950,Neoraja iberica,Animalia,Chordata,168,8.4,6,transboundary
Fis-160954,Urolophus kapalensis,Animalia,Chordata,19,0.95,1,singlecountry
Fis-160961,Kali colubrina,Animalia,Chordata,547,27.35,2,transboundary
Fis-160978,Nectamia annularis,Animalia,Chordata,76,3.8,4,transboundary
Fis-160987,Nectamia fusca,Animalia,Chordata,2422,121.1,24,transboundary
Fis-160988,Nectamia savayensis,Animalia,Chordata,3688,184.4,48,transboundary
Fis-161008,Thermichthys hollisi,Animalia,Chordata,27,1.35,2,transboundary
Fis-161020,Photostomias goodyeari,Animalia,Chordata,21579,1078.95,72,transboundary
Fis-161024,Symphurus ocellaris,Animalia,Chordata,40,2,5,transboundary
Fis-161027,Ptereleotris brachyptera,Animalia,Chordata,1149,57.45,11,transboundary
Fis-161031,Manonichthys jamali,Animalia,Chordata,299,14.95,4,transboundary
Fis-161033,Scorpaena bulacephala,Animalia,Chordata,134,6.7,4,transboundary
Fis-161040,Photostomias atrox,Animalia,Chordata,23467,1173.35,57,transboundary
Fis-161046,Dipturus wuhanlingi,Animalia,Chordata,291,14.55,5,transboundary
Fis-161056,Equulites elongatus,Animalia,Chordata,4526,226.3,41,transboundary
Fis-161057,Equulites klunzingeri,Animalia,Chordata,181,9.05,7,transboundary
Fis-161058,Equulites laterofenestra,Animalia,Chordata,185,9.25,2,transboundary
Fis-161059,Equulites leuciscus,Animalia,Chordata,3747,187.35,36,transboundary
Fis-161060,Equulites moretoniensis,Animalia,Chordata,1854,92.7,19,transboundary
Fis-161061,Equulites rivulatus,Animalia,Chordata,1414,70.7,12,transboundary
Fis-161062,Equulites stercorarius,Animalia,Chordata,1540,77,17,transboundary
Fis-161063,Eubleekeria jonesi,Animalia,Chordata,4313,215.65,36,transboundary
Fis-161065,Eubleekeria rapsoni,Animalia,Chordata,2170,108.5,14,transboundary
Fis-161066,Eubleekeria splendens,Animalia,Chordata,4274,213.7,35,transboundary
Fis-161069,Pomacentrus microspilus,Animalia,Chordata,90,4.5,5,transboundary
Fis-161071,Chromis xouthos,Animalia,Chordata,412,20.6,12,transboundary
Fis-161073,Zearaja nasuta,Animalia,Chordata,401,20.05,2,transboundary
Fis-161084,Vanderhorstia nobilis,Animalia,Chordata,850,42.5,9,transboundary
Fis-161086,Eviota hoesei,Animalia,Chordata,90,4.5,3,transboundary
Fis-161089,Eviota readerae,Animalia,Chordata,12,0.6,3,transboundary
Fis-161092,Xenisthmus eirospilus,Animalia,Chordata,1998,99.9,25,transboundary
Fis-161097,Asterropteryx senoui,Animalia,Chordata,1450,72.5,13,transboundary
Fis-161099,Vanderhorstia papilio,Animalia,Chordata,1237,61.85,12,transboundary
Fis-161116,Apogon seminigracaudus,Animalia,Chordata,1785,89.25,17,transboundary
Fis-161117,Argyripnus pharos,Animalia,Chordata,34493,1724.65,64,transboundary
Fis-161120,Synaphobranchus calvus,Animalia,Chordata,26,1.3,1,singlecountry
Fis-161132,Aseraggodes longipinnis,Animalia,Chordata,424,21.2,3,transboundary
Fis-161133,Aseraggodes matsuurai,Animalia,Chordata,515,25.75,5,transboundary
Fis-161136,Aseraggodes suzumotoi,Animalia,Chordata,275,13.75,3,transboundary
Fis-161137,Aseraggodes winterbottomi,Animalia,Chordata,408,20.4,3,transboundary
Fis-161142,Aseraggodes xenicus,Animalia,Chordata,576,28.8,14,transboundary
Fis-161155,Dipturus acrobelus,Animalia,Chordata,2225,111.25,17,transboundary
Fis-161158,Dipturus apricus,Animalia,Chordata,306,15.3,6,transboundary
Fis-161159,Dipturus healdi,Animalia,Chordata,200,10,3,transboundary
Fis-161161,Dipturus melanospilus,Animalia,Chordata,552,27.6,8,transboundary
Fis-161162,Dipturus queenslandicus,Animalia,Chordata,454,22.7,10,transboundary
Fis-161163,Hoplolatilus erdmanni,Animalia,Chordata,458,22.9,5,transboundary
Fis-161164,Ctenogobiops mitodes,Animalia,Chordata,1204,60.2,15,transboundary
Fis-161167,Tomiyamichthys tanyspilus,Animalia,Chordata,936,46.8,9,transboundary
Fis-161168,Tomiyamichthys fourmanoiri,Animalia,Chordata,181,9.05,6,transboundary
Fis-161169,Tomiyamichthys latruncularius,Animalia,Chordata,1266,63.3,21,transboundary
Fis-161171,Tomiyamichthys lanceolatus,Animalia,Chordata,1328,66.4,14,transboundary
Fis-161175,Chromis onumai,Animalia,Chordata,151,7.55,4,transboundary
Fis-161177,Lycenchelys ryukyuensis,Animalia,Chordata,355,17.75,7,transboundary
Fis-161179,Trimma nomurai,Animalia,Chordata,2033,101.65,18,transboundary
Fis-161181,Aseraggodes corymbus,Animalia,Chordata,545,27.25,4,transboundary
Fis-161188,Chaenophryne quasiramifera,Animalia,Chordata,185,9.25,3,transboundary
Fis-161193,Vanderhorstia attenuata,Animalia,Chordata,501,25.05,5,transboundary
Fis-161199,Vanderhorstia auronotata,Animalia,Chordata,400,20,4,transboundary
Fis-161201,Vanderhorstia dorsomacula,Animalia,Chordata,1020,51,9,transboundary
Fis-161202,Dipturus canutus,Animalia,Chordata,1094,54.7,10,transboundary
Fis-161209,Dipturus confusus,Animalia,Chordata,1135,56.75,7,transboundary
Fis-161213,Dipturus falloargus,Animalia,Chordata,213,10.65,1,singlecountry
Fis-161216,Dipturus grahami,Animalia,Chordata,393,19.65,8,transboundary
Fis-161218,Dipturus oculus,Animalia,Chordata,189,9.45,1,singlecountry
Fis-161221,Dipturus wengi,Animalia,Chordata,2156,107.8,16,transboundary
Fis-161225,Okamejei arafurensis,Animalia,Chordata,54,2.7,1,singlecountry
Fis-161228,Okamejei leptoura,Animalia,Chordata,425,21.25,6,transboundary
Fis-161231,Rajella challengeri,Animalia,Chordata,454,22.7,8,transboundary
Fis-161233,Leucoraja pristispina,Animalia,Chordata,167,8.35,4,transboundary
Fis-161235,Irolita westraliensis,Animalia,Chordata,133,6.65,1,singlecountry
Fis-161239,Notoraja azurea,Animalia,Chordata,1242,62.1,11,transboundary
Fis-161242,Notoraja sticta,Animalia,Chordata,430,21.5,8,transboundary
Fis-161247,Parapercis phenax,Animalia,Chordata,33,1.65,4,transboundary
Fis-161252,Astronesthes formosana,Animalia,Chordata,3575,178.75,8,transboundary
Fis-161257,Tryssogobius flavolineatus,Animalia,Chordata,446,22.3,5,transboundary
Fis-161259,Tryssogobius nigrolineatus,Animalia,Chordata,1116,55.8,13,transboundary
Fis-161270,Pseudoscopelus pierbartus,Animalia,Chordata,4519,225.95,15,transboundary
Fis-161298,Trachyscorpia osheri,Animalia,Chordata,21,1.05,3,transboundary
Fis-161300,Coelorinchus hoangi,Animalia,Chordata,276,13.8,6,transboundary
Fis-161301,Coelorinchus gormani,Animalia,Chordata,317,15.85,3,transboundary
Fis-161348,Nectamia bandanensis,Animalia,Chordata,1511,75.55,18,transboundary
Fis-161376,Beaglichthys bleekeri,Animalia,Chordata,39,1.95,1,singlecountry
Fis-161395,Galeus priapus,Animalia,Chordata,30,1.5,2,transboundary
Fis-161400,Apristurus australis,Animalia,Chordata,13622,681.1,28,transboundary
Fis-161402,Mustelus stevensi,Animalia,Chordata,173,8.65,1,singlecountry
Fis-161405,Mustelus walkeri,Animalia,Chordata,394,19.7,6,transboundary
Fis-161411,Centrophorus westraliensis,Animalia,Chordata,291,14.55,6,transboundary
Fis-161412,Centrophorus zeehaani,Animalia,Chordata,647,32.35,7,transboundary
Fis-161420,Pristiophorus delicatus,Animalia,Chordata,187,9.35,5,transboundary
Fis-161424,Apristurus ampliceps,Animalia,Chordata,69,3.45,2,transboundary
Fis-161427,Apristurus bucephalus,Animalia,Chordata,124,6.2,5,transboundary
Fis-161432,Cephaloscyllium cooki,Animalia,Chordata,802,40.1,12,transboundary
Fis-161436,Cephaloscyllium signourum,Animalia,Chordata,1110,55.5,15,transboundary
Fis-161438,Cephaloscyllium speccum,Animalia,Chordata,78,3.9,1,singlecountry
Fis-161440,Cephaloscyllium albipinnum,Animalia,Chordata,4998,249.9,6,transboundary
Fis-161443,Cephaloscyllium variegatum,Animalia,Chordata,795,39.75,4,transboundary
Fis-161448,Cephaloscyllium hiscosellum,Animalia,Chordata,546,27.3,7,transboundary
Fis-161451,Figaro striatus,Animalia,Chordata,334,16.7,8,transboundary
Fis-161453,Glyphis garricki,Animalia,Chordata,386,19.3,1,singlecountry
Fis-161456,Rhynchobatus palpebratus,Animalia,Chordata,2541,127.05,21,transboundary
Fis-161457,Narcine ornata,Animalia,Chordata,1226,61.3,12,transboundary
Fis-161458,Narcine nelsoni,Animalia,Chordata,310,15.5,6,transboundary
Fis-161466,Trygonoptera imitata,Animalia,Chordata,275,13.75,2,transboundary
Fis-161467,Chimaera argiloba,Animalia,Chordata,10,0.5,1,singlecountry
Fis-161470,Trygonoptera galba,Animalia,Chordata,112,5.6,1,singlecountry
Fis-161473,Dasyatis parvonigra,Animalia,Chordata,176,8.8,3,transboundary
Fis-161480,Himantura leoparda,Animalia,Chordata,3900,195,37,transboundary
Fis-161488,Himantura astra,Animalia,Chordata,2352,117.6,19,transboundary
Fis-161491,Neotrygon picta,Animalia,Chordata,2242,112.1,19,transboundary
Fis-161493,Neotrygon annotata,Animalia,Chordata,610,30.5,8,transboundary
Fis-161495,Neotrygon leylandi,Animalia,Chordata,1105,55.25,10,transboundary
Fis-161496,Liocranium pleurostigma,Animalia,Chordata,1116,55.8,11,transboundary
Fis-161499,Asymbolus galacticus,Animalia,Chordata,186,9.3,7,transboundary
Fis-161502,Chimaera fulva,Animalia,Chordata,1178,58.9,11,transboundary
Fis-161508,Chimaera obscura,Animalia,Chordata,353,17.65,3,transboundary
Fis-161512,Hydrolagus homonycteris,Animalia,Chordata,1632,81.6,12,transboundary
Fis-161515,Hydrolagus marmoratus,Animalia,Chordata,1663,83.15,11,transboundary
Fis-161546,Amphiprion barberi,Animalia,Chordata,309,15.45,8,transboundary
Fis-161571,Sunagocia sainsburyi,Animalia,Chordata,895,44.75,9,transboundary
Fis-161573,Minysicya caudimaculata,Animalia,Chordata,1942,97.1,26,transboundary
